FIPS,POP,SUM,RATE
12086,2693117,37175,1380.37
12087,77482,867,1118.97
12089,78444,1093,1393.35
12091,198664,2910,1464.78
12093,39469,942,2386.68
12095,1288126,25706,1995.61
12097,323993,5187,1600.96
12099,1422789,10726,753.87
12101,497909,7908,1588.24
12103,949827,4297,452.4
12105,650092,6255,962.17
12107,72023,921,1278.76
12109,226640,2385,1052.33
12111,298563,1419,475.28
12113,167040,1569,939.3
12115,405549,4658,1148.57
12117,449144,2996,667.05
12119,118891,1060,891.57
12121,43760,580,1325.41
12123,22493,300,1333.75
12125,15234,130,853.35
12127,517887,2751,531.2
12129,31535,578,1832.88
12131,63508,869,1368.33
12133,24687,164,664.32
13019,18963,183,965.04
13023,12243,121,988.32
13027,15658,246,1571.08
13029,35137,324,922.1
13033,22745,252,1107.94
13035,23593,386,1636.08
13043,10886,50,459.31
13057,235900,1219,516.74
13063,273955,8804,3213.67
13067,741334,80,10.79
13075,17124,167,975.24
13077,138427,1603,1158.01
13095,91332,56,61.31
13097,140733,322,228.8
13101,4040,22,544.55
13111,24303,305,1254.99
13113,110714,396,357.68
13117,212438,1500,706.09
13119,22311,237,1062.26
13123,29400,399,1357.14
13139,193535,1567,809.67
13141,8551,65,760.15
13143,28854,530,1836.83
13149,11539,114,987.95
13159,13635,262,1921.53
13163,16106,97,602.26
13169,28494,325,1140.59
13173,10312,139,1347.94
13175,47731,615,1288.47
13177,29202,535,1832.07
13189,21540,206,956.36
13195,28441,462,1624.42
13197,8761,31,353.84
13199,21190,299,1411.04
13205,22574,293,1297.95
13213,39565,132,333.63
13217,105473,902,855.2
13223,152238,2182,1433.28
13225,26720,181,677.4
13229,19103,352,1842.64
13231,17941,213,1187.22
13235,11396,259,2272.73
13251,14162,149,1052.11
13275,45063,537,1191.67
13281,11182,111,992.67
13283,6785,39,574.8
13297,88399,483,546.39
13299,35370,515,1456.04
13311,28319,158,557.93
13317,9867,52,527.01
13319,9155,44,480.61
15009,164637,5433,3299.99
16001,434211,852,196.22
16003,3843,53,1379.13
16005,83744,42,50.15
16009,9052,61,673.88
16011,44990,181,402.31
16013,21592,23,106.52
16015,7058,79,1119.3
16017,41859,368,879.14
16019,110089,716,650.38
16023,2501,8,319.87
16025,1066,11,1031.89
16027,207478,547,263.64
16031,23506,291,1237.98
16033,880,6,681.82
16037,4087,20,489.36
16039,25876,84,324.63
16041,13074,42,321.25
16043,12819,44,343.24
16045,16852,86,510.33
16047,15284,60,392.57
